v time
16 0
16 0
16 0
64 4
64 2
64 2
128 17
128 16
128 17
256 129
256 128
256 128
512 995
512 994
512 995
768 3315
768 3317
768 3310
1024 7867
1024 7855
1024 7845
2048 65870
2048 66570
2048 66711
3072 230027
3072 225785
3072 225243
4096 533398
4096 531967
4096 529684
5120 1033611
5120 1030151
5120 1030239
6144 1779865
6144 1779834
6144 1779462
7168 2825959
7168 2825233
