v time
5120 5804
5120 5789
5120 5766
6144 9884
6144 9825
6144 9816
7168 15676
7168 15609
7168 15602
8192 22815
8192 22764
8192 22745
10240 45454
10240 45802
10240 45361
11264 60255
11264 60241
11264 60272
64 0
64 0
64 0
128 0
128 0
128 0
256 1
256 1
256 1
512 7
512 8
512 7
768 22
768 22
768 22
1024 47
1024 47
1024 47
2048 336
2048 335
2048 335
3072 1158
3072 1160
3072 1161
4096 2872
4096 2875
4096 2874
