v time
5120 6393
5120 6210
5120 6081
6144 11082
6144 10841
6144 10489
7168 17978
7168 17922
7168 17910
8192 26152
8192 26965
8192 27366
10240 48646
10240 48656
10240 49250
11264 64888
11264 65116
11264 64928
64 0
64 0
64 0
128 0
128 0
128 0
256 1
256 3
256 1
512 8
512 8
512 9
768 26
768 25
768 24
1024 53
1024 54
1024 57
2048 396
2048 402
2048 391
3072 1314
3072 1312
3072 1316
4096 3088
4096 3086
4096 3093
