v time
16 2
16 1
16 0
5120 852921
5120 828464
5120 828907
6144 1435125
6144 1429741
6144 1432082
7168 2266317
7168 2262665
7168 2267401
8192 3380667
8192 3386545
8192 3387613
64 3
64 4
64 1
128 12
128 13
128 17
256 89
256 77
256 87
512 655
512 648
512 615
768 2721
768 2806
768 2808
1024 6666
1024 6801
1024 6651
2048 53442
2048 53343
2048 53653
3072 178424
3072 180496
3072 178525
4096 439258
4096 424691
4096 422609
