v time
5120 9261
5120 9191
5120 9177
6144 15842
6144 16444
6144 16120
7168 26192
7168 24925
7168 24898
8192 37081
8192 37046
8192 37003
10240 72509
10240 74034
10240 72402
11264 96307
11264 96288
11264 96260
64 0
64 0
64 0
128 0
128 0
128 0
256 2
256 2
256 2
512 11
512 11
512 11
768 35
768 35
768 35
1024 78
1024 78
1024 78
2048 593
2048 592
2048 592
3072 1975
3072 1977
3072 1975
4096 4655
4096 4658
4096 4658
