v time
5120 5235
5120 5186
5120 5181
6144 8989
6144 8835
6144 8837
7168 14997
7168 14762
7168 14474
8192 22549
8192 22492
8192 20521
10240 44647
10240 41757
10240 41698
11264 55241
11264 56986
11264 54849
64 0
64 0
64 0
128 1
128 1
128 1
256 3
256 3
256 3
512 12
512 12
512 12
768 28
768 28
768 28
1024 53
1024 53
1024 53
2048 326
2048 324
2048 324
3072 1153
3072 1151
3072 1151
4096 2646
4096 2647
4096 2648
